City,Place,PlaceID,CityID,ImageUrl,lat,lng,class
New Delhi,Qutub Minar,146,22,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b7/1f/31/qutab-minar.jpg?w=1200&h=1200&s=1,28.524413,77.18545014,historic
New Delhi,Swaminarayan Akshardham,183,22,https://www.makemytrip.com/travel-guide/media/dg_image/delhi/Swaminarayan-Akshardham-Temple-Delhi.jpg,28.61251665,77.2773184,amenity
New Delhi,India Gate,76,22,https://img.staticmb.com/mbcontent//images/uploads/2022/9/India%20Gate%20delhi.jpg,28.6129332,77.22949282,tourism
New Delhi,Humayun's Tomb,74,22,https://cdn.britannica.com/54/156454-050-4E72CEE0/Humayuns-Tomb-Hamidah-Banu-Begam-Delhi-India-1569.jpg,28.5932856,77.2506468,historic
New Delhi,Gurudwara Bangla Sahib,67,22,"https://navbharattimes.indiatimes.com/travel/destinations/interesting-facts-about-bangla-sahib-gurudwara-delhi/photo/msid-93386892,imgsize-72802/interesting-facts-about-bangla-sahib-gurudwara-delhi-93386892.jpg",28.625421,77.2095761,highway
New Delhi,Lotus Temple,106,22,https://upload.wikimedia.org/wikipedia/commons/f/fc/LotusDelhi.jpg,-33.6356199,150.2860567,shop
New Delhi,Red Fort (Lal Quila),152,22,https://cdn.britannica.com/84/124684-004-07547A0D/Red-Fort-Old-Delhi-India.jpg,,,
Agra,Taj Mahal,184,0,https://images.pexels.com/photos/602607/pexels-photo-602607.png?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,27.1750123,78.04209684,tourism
Agra,Agra Fort,2,0,https://assets.traveltriangle.com/blog/wp-content/uploads/2019/08/%E0%A4%86%E0%A4%97%E0%A4%B0%E0%A4%BE-%E0%A4%95%E0%A4%BE-%E0%A4%95%E0%A4%BF%E0%A4%B2%E0%A4%BE.jpg,27.1798258,78.02082227,historic
Agra,Tomb of Itimad-ud-Daulah,193,0,https://images.pexels.com/photos/602607/pexels-photo-602607.png?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,27.1927827,78.03143586,historic
Agra,Wildlife SOS,204,0,https://images.pexels.com/photos/602607/pexels-photo-602607.png?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,27.2998755,77.7937949,tourism
Agra,Mehtab Bagh,116,0,https://images.pexels.com/photos/602607/pexels-photo-602607.png?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,27.1791872,78.04208546,historic
Agra,Jama Masjid,85,0,https://images.pexels.com/photos/602607/pexels-photo-602607.png?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,28.6506822,77.23296096,amenity
Agra,Sheesh Mahal,167,0,https://images.pexels.com/photos/602607/pexels-photo-602607.png?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,51.44721015,-0.328852391,amenity
